onetId,occupationTitle,reportedTitle,combinedTitle
29-1066.00,Psychiatrists,Child & Adolescent Psychiatrist,Child & Adolescent Psychiatrist (Psychiatrists)
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Child Care Director,"Child Care Director (Education Administrators, Preschool and Childcare Center/Program)"
39-9011.00,Childcare Workers,Child Care Provider,Child Care Provider (Childcare Workers)
39-9011.00,Childcare Workers,Child Care Teacher,Child Care Teacher (Childcare Workers)
39-9011.00,Childcare Workers,Child Care Worker,Child Care Worker (Childcare Workers)
39-9011.00,Childcare Workers,Child Caregiver,Child Caregiver (Childcare Workers)
21-1091.00,Health Educators,Child Development Specialist,Child Development Specialist (Health Educators)
21-1021.00,"Child, Family, and School Social Workers",Child Protective Services Social Worker (CPS Social Worker),"Child Protective Services Social Worker (CPS Social Worker) (Child, Family, and School Social Workers)"
29-1066.00,Psychiatrists,Child Psychiatrist,Child Psychiatrist (Psychiatrists)
19-3031.02,Clinical Psychologists,Child Psychologist,Child Psychologist (Clinical Psychologists)
19-3031.01,School Psychologists,Child Study Team Director,Child Study Team Director (School Psychologists)
23-1012.00,Judicial Law Clerks,Child Support Officer,Child Support Officer (Judicial Law Clerks)
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Childcare Director,"Childcare Director (Education Administrators, Preschool and Childcare Center/Program)"
39-9011.00,Childcare Workers,Childcare Worker,Childcare Worker (Childcare Workers)
27-2041.01,Music Directors,Children's Choir Director,Children's Choir Director (Music Directors)
25-4021.00,Librarians,Children's Librarian,Children's Librarian (Librarians)
21-2011.00,Clergy,Children's Minister,Children's Minister (Clergy)
21-2021.00,"Directors, Religious Activities and Education",Children's Ministries Director,"Children's Ministries Director (Directors, Religious Activities and Education)"
29-1125.01,Art Therapists,Children's Program Coordinator,Children's Program Coordinator (Art Therapists)
11-9151.00,Social and Community Service Managers,Children's Service Supervisor,Children's Service Supervisor (Social and Community Service Managers)
53-7011.00,Conveyor Operators and Tenders,Chipper Operator,Chipper Operator (Conveyor Operators and Tenders)
29-1011.00,Chiropractors,Chiropractic Care,Chiropractic Care (Chiropractors)
29-1011.00,Chiropractors,Chiropractic Doctor (DC),Chiropractic Doctor (DC) (Chiropractors)
29-1011.00,Chiropractors,Chiropractic Neurologist,Chiropractic Neurologist (Chiropractors)
29-1011.00,Chiropractors,Chiropractic Physician,Chiropractic Physician (Chiropractors)
29-1011.00,Chiropractors,Chiropractor,Chiropractor (Chiropractors)
31-9092.00,Medical Assistants,Chiropractor Assistant,Chiropractor Assistant (Medical Assistants)
29-1011.00,Chiropractors,"Chiropractor, Sole Practitioner","Chiropractor, Sole Practitioner (Chiropractors)"
51-9011.00,Chemical Equipment Operators and Tenders,Chlorination Operator,Chlorination Operator (Chemical Equipment Operators and Tenders)
27-2041.01,Music Directors,Choir Director,Choir Director (Music Directors)
27-2042.01,Singers,Choir Member,Choir Member (Singers)
51-2091.00,Fiberglass Laminators and Fabricators,Chopper Gun Operator,Chopper Gun Operator (Fiberglass Laminators and Fabricators)
27-2032.00,Choreographers,Choreographer,Choreographer (Choreographers)
21-2021.00,"Directors, Religious Activities and Education",Christian Education Director,"Christian Education Director (Directors, Religious Activities and Education)"
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Chrome Plater,"Chrome Plater (Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic)"
19-1041.00,Epidemiologists,Chronic Disease Epidemiologist,Chronic Disease Epidemiologist (Epidemiologists)
43-4031.01,Court Clerks,Circuit Court Clerk,Circuit Court Clerk (Court Clerks)
23-1023.00,"Judges, Magistrate Judges, and Magistrates",Circuit Court Judge,"Circuit Court Judge (Judges, Magistrate Judges, and Magistrates)"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",Circuit Judge,"Circuit Judge (Judges, Magistrate Judges, and Magistrates)"
17-2071.00,Electrical Engineers,Circuits Engineer,Circuits Engineer (Electrical Engineers)
43-4121.00,"Library Assistants, Clerical",Circulation Supervisor,"Circulation Supervisor (Library Assistants, Clerical)"
23-1011.00,Lawyers,City Attorney,City Attorney (Lawyers)
43-4031.02,Municipal Clerks,City Clerk,City Clerk (Municipal Clerks)
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",City Dispatcher,"City Dispatcher (Dispatchers, Except Police, Fire, and Ambulance)"
27-3041.00,Editors,City Editor,City Editor (Editors)
17-2051.00,Civil Engineers,City Engineer,City Engineer (Civil Engineers)
43-5052.00,Postal Service Mail Carriers,City Letter Carrier,City Letter Carrier (Postal Service Mail Carriers)
43-5052.00,Postal Service Mail Carriers,City Mail Carrier,City Mail Carrier (Postal Service Mail Carriers)
19-3051.00,Urban and Regional Planners,City Planner,City Planner (Urban and Regional Planners)
43-4031.02,Municipal Clerks,City Recorder,City Recorder (Municipal Clerks)
43-4031.02,Municipal Clerks,City Secretary,City Secretary (Municipal Clerks)
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",City Tax Auditor,"City Tax Auditor (Tax Examiners and Collectors, and Revenue Agents)"
17-3011.02,Civil Drafters,Civil CAD Designer (Civil Computer Aided Design Designer),Civil CAD Designer (Civil Computer Aided Design Designer) (Civil Drafters)
17-3011.02,Civil Drafters,Civil CAD Tech (Civil Computer-Aided Design Technician),Civil CAD Tech (Civil Computer-Aided Design Technician) (Civil Drafters)
17-3022.00,Civil Engineering Technicians,Civil Designer,Civil Designer (Civil Engineering Technicians)
33-3051.03,Sheriffs and Deputy Sheriffs,Civil Division Deputy Sheriff,Civil Division Deputy Sheriff (Sheriffs and Deputy Sheriffs)
17-3011.02,Civil Drafters,Civil Drafter,Civil Drafter (Civil Drafters)
17-2051.00,Civil Engineers,Civil Engineer,Civil Engineer (Civil Engineers)
17-3022.00,Civil Engineering Technicians,Civil Engineering Assistant,Civil Engineering Assistant (Civil Engineering Technicians)
17-3022.00,Civil Engineering Technicians,Civil Engineering Designer,Civil Engineering Designer (Civil Engineering Technicians)
11-9041.00,Architectural and Engineering Managers,Civil Engineering Manager,Civil Engineering Manager (Architectural and Engineering Managers)
17-2051.00,Civil Engineers,Civil Engineering Manager,Civil Engineering Manager (Civil Engineers)
17-3022.00,Civil Engineering Technicians,Civil Engineering Technician,Civil Engineering Technician (Civil Engineering Technicians)
33-3051.03,Sheriffs and Deputy Sheriffs,Civil Process Server,Civil Process Server (Sheriffs and Deputy Sheriffs)
13-1041.03,Equal Opportunity Representatives and Officers,Civil Rights Investigator,Civil Rights Investigator (Equal Opportunity Representatives and Officers)
13-1041.03,Equal Opportunity Representatives and Officers,Civil Rights Representative,Civil Rights Representative (Equal Opportunity Representatives and Officers)
43-9041.01,Insurance Claims Clerks,Claim Processing Specialist,Claim Processing Specialist (Insurance Claims Clerks)
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claim Representative,"Claim Representative (Insurance Adjusters, Examiners, and Investigators)"
43-9041.01,Insurance Claims Clerks,Claim Service Representative,Claim Service Representative (Insurance Claims Clerks)
43-9041.01,Insurance Claims Clerks,Claim Technician,Claim Technician (Insurance Claims Clerks)
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Claims Adjudicator,"Claims Adjudicator (Administrative Law Judges, Adjudicators, and Hearing Officers)"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Adjuster,"Claims Adjuster (Claims Examiners, Property and Casualty Insurance)"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claims Adjuster,"Claims Adjuster (Insurance Adjusters, Examiners, and Investigators)"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Analyst,"Claims Analyst (Claims Examiners, Property and Casualty Insurance)"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claims Analyst,"Claims Analyst (Insurance Adjusters, Examiners, and Investigators)"
43-4071.00,File Clerks,Claims Clerk,Claims Clerk (File Clerks)
43-9041.01,Insurance Claims Clerks,Claims Clerk,Claims Clerk (Insurance Claims Clerks)
43-4021.00,Correspondence Clerks,Claims Correspondence Clerk,Claims Correspondence Clerk (Correspondence Clerks)
43-9041.01,Insurance Claims Clerks,Claims Customer Service Representative (Claims CSR),Claims Customer Service Representative (Claims CSR) (Insurance Claims Clerks)
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Examiner,"Claims Examiner (Claims Examiners, Property and Casualty Insurance)"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claims Examiner,"Claims Examiner (Insurance Adjusters, Examiners, and Investigators)"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Manager,"Claims Manager (Claims Examiners, Property and Casualty Insurance)"
43-9041.01,Insurance Claims Clerks,Claims Processor,Claims Processor (Insurance Claims Clerks)
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Representative,"Claims Representative (Claims Examiners, Property and Casualty Insurance)"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claims Representative,"Claims Representative (Insurance Adjusters, Examiners, and Investigators)"
43-9041.01,Insurance Claims Clerks,Claims Representative,Claims Representative (Insurance Claims Clerks)
43-9041.01,Insurance Claims Clerks,Claims Service Representative,Claims Service Representative (Insurance Claims Clerks)
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Specialist,"Claims Specialist (Claims Examiners, Property and Casualty Insurance)"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",Claims Specialist,"Claims Specialist (Insurance Adjusters, Examiners, and Investigators)"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Claims Supervisor,"Claims Supervisor (Claims Examiners, Property and Casualty Insurance)"
43-9021.00,Data Entry Keyers,Claims Support Specialist,Claims Support Specialist (Data Entry Keyers)
43-9041.01,Insurance Claims Clerks,Claims Technician,Claims Technician (Insurance Claims Clerks)
45-3011.00,Fishers and Related Fishing Workers,Clam Digger,Clam Digger (Fishers and Related Fishing Workers)
27-2042.02,"Musicians, Instrumental",Clarinetist,"Clarinetist (Musicians, Instrumental)"
49-9051.00,Electrical Power-Line Installers and Repairers,Class A Lineman,Class A Lineman (Electrical Power-Line Installers and Repairers)
11-2011.00,Advertising and Promotions Managers,Classified Advertising Manager,Classified Advertising Manager (Advertising and Promotions Managers)
25-2021.00,"Elementary School Teachers, Except Special Education",Classroom Teacher,"Classroom Teacher (Elementary School Teachers, Except Special Education)"
25-2012.00,"Kindergarten Teachers, Except Special Education",Classroom Teacher,"Classroom Teacher (Kindergarten Teachers, Except Special Education)"
51-9195.05,"Potters, Manufacturing",Clay Mixer,"Clay Mixer (Potters, Manufacturing)"
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Clean in Places Operator (CIP Operator),"Clean in Places Operator (CIP Operator) (Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders)"
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Cleaner,"Cleaner (Janitors and Cleaners, Except Maids and Housekeeping Cleaners)"
53-6031.00,Automotive and Watercraft Service Attendants,Cleaner/Shifter,Cleaner/Shifter (Automotive and Watercraft Service Attendants)
53-6031.00,Automotive and Watercraft Service Attendants,Clerk,Clerk (Automotive and Watercraft Service Attendants)
41-2011.00,Cashiers,Clerk,Clerk (Cashiers)
41-2021.00,Counter and Rental Clerks,Clerk,Clerk (Counter and Rental Clerks)
43-4031.01,Court Clerks,Clerk,Clerk (Court Clerks)
43-4071.00,File Clerks,Clerk,Clerk (File Clerks)
43-4031.03,License Clerks,Clerk,Clerk (License Clerks)
43-4031.02,Municipal Clerks,Clerk,Clerk (Municipal Clerks)
43-9061.00,"Office Clerks, General",Clerk,"Clerk (Office Clerks, General)"
43-5051.00,Postal Service Clerks,Clerk,Clerk (Postal Service Clerks)
41-2031.00,Retail Salespersons,Clerk,Clerk (Retail Salespersons)
43-5081.01,"Stock Clerks, Sales Floor",Clerk,"Clerk (Stock Clerks, Sales Floor)"
43-4171.00,Receptionists and Information Clerks,Clerk Specialist,Clerk Specialist (Receptionists and Information Clerks)
23-1012.00,Judicial Law Clerks,Clerk to Justice,Clerk to Justice (Judicial Law Clerks)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Clerk Typist,"Clerk Typist (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
43-9022.00,Word Processors and Typists,Clerk Typist,Clerk Typist (Word Processors and Typists)
43-4011.00,Brokerage Clerks,Client Associate,Client Associate (Brokerage Clerks)
41-3031.02,"Sales Agents, Financial Services",Client Manager,"Client Manager (Sales Agents, Financial Services)"
13-1161.00,Market Research Analysts and Marketing Specialists,Client Service and Consulting Manager,Client Service and Consulting Manager (Market Research Analysts and Marketing Specialists)
43-4011.00,Brokerage Clerks,Client Service Associate,Client Service Associate (Brokerage Clerks)
43-4051.00,Customer Service Representatives,Client Services Representative,Client Services Representative (Customer Service Representatives)
43-4061.00,"Eligibility Interviewers, Government Programs",Client Services Representative,"Client Services Representative (Eligibility Interviewers, Government Programs)"
13-1161.00,Market Research Analysts and Marketing Specialists,Client Services Vice President,Client Services Vice President (Market Research Analysts and Marketing Specialists)
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Clinic Licensed Practical Nurse (CLINIC LPN),Clinic Licensed Practical Nurse (CLINIC LPN) (Licensed Practical and Licensed Vocational Nurses)
29-1063.00,"Internists, General",Clinic MD Associate (Clinic Medical Doctor Associate),"Clinic MD Associate (Clinic Medical Doctor Associate) (Internists, General)"
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Clinic Nurse,Clinic Nurse (Licensed Practical and Licensed Vocational Nurses)
15-1121.01,Informatics Nurse Specialists,Clinical Applications Specialist,Clinical Applications Specialist (Informatics Nurse Specialists)
31-9092.00,Medical Assistants,Clinical Assistant,Clinical Assistant (Medical Assistants)
29-1181.00,Audiologists,Clinical Audiologist,Clinical Audiologist (Audiologists)
15-1121.01,Informatics Nurse Specialists,Clinical Coordinator,Clinical Coordinator (Informatics Nurse Specialists)
29-1126.00,Respiratory Therapists,Clinical Coordinator of Respiratory Therapy,Clinical Coordinator of Respiratory Therapy (Respiratory Therapists)
29-1128.00,Exercise Physiologists,"Clinical Coordinator, Heart Failure Cardiac Rehabilitation","Clinical Coordinator, Heart Failure Cardiac Rehabilitation (Exercise Physiologists)"
29-9092.00,Genetic Counselors,"Clinical Coordinator, Pediatric Genetics","Clinical Coordinator, Pediatric Genetics (Genetic Counselors)"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Clinical Counselor,Clinical Counselor (Substance Abuse and Behavioral Disorder Counselors)
29-2011.01,Cytogenetic Technologists,Clinical Cytogeneticist Scientist (CCS),Clinical Cytogeneticist Scientist (CCS) (Cytogenetic Technologists)
19-1029.03,Geneticists,Clinical Cytogenetics Director,Clinical Cytogenetics Director (Geneticists)
15-2041.02,Clinical Data Managers,Clinical Data Management Associate Director,Clinical Data Management Associate Director (Clinical Data Managers)
15-2041.02,Clinical Data Managers,Clinical Data Management Manager (CDM Manager),Clinical Data Management Manager (CDM Manager) (Clinical Data Managers)
15-2041.02,Clinical Data Managers,Clinical Data Manager,Clinical Data Manager (Clinical Data Managers)
29-1031.00,Dietitians and Nutritionists,Clinical Dietician,Clinical Dietician (Dietitians and Nutritionists)
29-1031.00,Dietitians and Nutritionists,Clinical Dietitian,Clinical Dietitian (Dietitians and Nutritionists)
29-1181.00,Audiologists,Clinical Director,Clinical Director (Audiologists)
19-3031.02,Clinical Psychologists,Clinical Director,Clinical Director (Clinical Psychologists)
11-9111.00,Medical and Health Services Managers,Clinical Director,Clinical Director (Medical and Health Services Managers)
29-1199.04,Naturopathic Physicians,Clinical Director,Clinical Director (Naturopathic Physicians)
29-1066.00,Psychiatrists,Clinical Director,Clinical Director (Psychiatrists)
25-1071.00,"Health Specialties Teachers, Postsecondary",Clinical Education Academic Coordinator,"Clinical Education Academic Coordinator (Health Specialties Teachers, Postsecondary)"
29-1141.01,Acute Care Nurses,Clinical Educator,Clinical Educator (Acute Care Nurses)
17-2031.00,Biomedical Engineers,Clinical Engineer,Clinical Engineer (Biomedical Engineers)
39-5094.00,Skincare Specialists,Clinical Esthetician,Clinical Esthetician (Skincare Specialists)
29-1128.00,Exercise Physiologists,Clinical Exercise Physiologist,Clinical Exercise Physiologist (Exercise Physiologists)
29-1128.00,Exercise Physiologists,Clinical Exercise Specialist,Clinical Exercise Specialist (Exercise Physiologists)
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Director,Clinical Informatics Director (Informatics Nurse Specialists)
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Specialist,Clinical Informatics Specialist (Informatics Nurse Specialists)
15-1121.01,Informatics Nurse Specialists,Clinical Informatics Strategist,Clinical Informatics Strategist (Informatics Nurse Specialists)
15-1121.01,Informatics Nurse Specialists,Clinical Information Systems Director,Clinical Information Systems Director (Informatics Nurse Specialists)
29-9091.00,Athletic Trainers,Clinical Instructor,Clinical Instructor (Athletic Trainers)
21-1091.00,Health Educators,Clinical Instructor,Clinical Instructor (Health Educators)
29-2011.03,Histotechnologists and Histologic Technicians,Clinical Laboratory Manager,Clinical Laboratory Manager (Histotechnologists and Histologic Technicians)
29-2012.00,Medical and Clinical Laboratory Technicians,Clinical Laboratory Scientist,Clinical Laboratory Scientist (Medical and Clinical Laboratory Technicians)
19-1042.00,"Medical Scientists, Except Epidemiologists",Clinical Laboratory Scientist,"Clinical Laboratory Scientist (Medical Scientists, Except Epidemiologists)"
19-1022.00,Microbiologists,Clinical Laboratory Scientist,Clinical Laboratory Scientist (Microbiologists)
29-2011.00,Medical and Clinical Laboratory Technologists,Clinical Laboratory Scientist (CLS),Clinical Laboratory Scientist (CLS) (Medical and Clinical Laboratory Technologists)
29-2011.01,Cytogenetic Technologists,Clinical Laboratory Specialist in Cytogenetics (CLSp(CG)),Clinical Laboratory Specialist in Cytogenetics (CLSp(CG)) (Cytogenetic Technologists)
29-2012.00,Medical and Clinical Laboratory Technicians,Clinical Laboratory Technician (Clinical Lab Technician),Clinical Laboratory Technician (Clinical Lab Technician) (Medical and Clinical Laboratory Technicians)
29-2011.00,Medical and Clinical Laboratory Technologists,Clinical Laboratory Technologist,Clinical Laboratory Technologist (Medical and Clinical Laboratory Technologists)
25-1112.00,"Law Teachers, Postsecondary",Clinical Law Professor,"Clinical Law Professor (Law Teachers, Postsecondary)"
31-9011.00,Massage Therapists,Clinical Massage Therapist,Clinical Massage Therapist (Massage Therapists)
31-9094.00,Medical Transcriptionists,Clinical Medical Transcriptionist,Clinical Medical Transcriptionist (Medical Transcriptionists)
19-1022.00,Microbiologists,Clinical Microbiologist,Clinical Microbiologist (Microbiologists)
19-1029.03,Geneticists,Clinical Molecular Genetics Laboratory Director,Clinical Molecular Genetics Laboratory Director (Geneticists)
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,Clinical Neuropsychologist,Clinical Neuropsychologist (Neuropsychologists and Clinical Neuropsychologists)
29-1141.01,Acute Care Nurses,Clinical Nurse Educator,Clinical Nurse Educator (Acute Care Nurses)
21-1091.00,Health Educators,Clinical Nurse Educator,Clinical Nurse Educator (Health Educators)
29-1141.04,Clinical Nurse Specialists,Clinical Nurse Specialist,Clinical Nurse Specialist (Clinical Nurse Specialists)
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Clinical Nursing Instructor,"Clinical Nursing Instructor (Nursing Instructors and Teachers, Postsecondary)"
29-1199.05,Orthoptists,Clinical Orthoptist (CO),Clinical Orthoptist (CO) (Orthoptists)
29-1051.00,Pharmacists,Clinical Pharmacist,Clinical Pharmacist (Pharmacists)
19-1042.00,"Medical Scientists, Except Epidemiologists",Clinical Pharmacologist,"Clinical Pharmacologist (Medical Scientists, Except Epidemiologists)"
29-1071.00,Physician Assistants,Clinical Physician Assistant,Clinical Physician Assistant (Physician Assistants)
25-1071.00,"Health Specialties Teachers, Postsecondary",Clinical Professor,"Clinical Professor (Health Specialties Teachers, Postsecondary)"
25-1113.00,"Social Work Teachers, Postsecondary",Clinical Professor,"Clinical Professor (Social Work Teachers, Postsecondary)"
11-9121.01,Clinical Research Coordinators,Clinical Program Coordinator,Clinical Program Coordinator (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Program Manager,Clinical Program Manager (Clinical Research Coordinators)
19-3031.02,Clinical Psychologists,Clinical Psychologist,Clinical Psychologist (Clinical Psychologists)
31-2022.00,Physical Therapist Aides,Clinical Rehabilitation Aide,Clinical Rehabilitation Aide (Physical Therapist Aides)
11-9121.01,Clinical Research Coordinators,Clinical Research Administrator,Clinical Research Administrator (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Research Associate (CRA),Clinical Research Associate (CRA) (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Research Coordinator,Clinical Research Coordinator (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Research Manager,Clinical Research Manager (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Research Nurse Coordinator,Clinical Research Nurse Coordinator (Clinical Research Coordinators)
25-1071.00,"Health Specialties Teachers, Postsecondary",Clinical Sciences Professor,"Clinical Sciences Professor (Health Specialties Teachers, Postsecondary)"
21-1013.00,Marriage and Family Therapists,Clinical Services Director,Clinical Services Director (Marriage and Family Therapists)
11-9151.00,Social and Community Service Managers,Clinical Services Director,Clinical Services Director (Social and Community Service Managers)
29-1161.00,Nurse Midwives,Clinical Site Coordinator and Supervisor,Clinical Site Coordinator and Supervisor (Nurse Midwives)
21-1022.00,Healthcare Social Workers,Clinical Social Worker,Clinical Social Worker (Healthcare Social Workers)
21-1023.00,Mental Health and Substance Abuse Social Workers,Clinical Social Worker,Clinical Social Worker (Mental Health and Substance Abuse Social Workers)
29-1141.01,Acute Care Nurses,Clinical Staff Educator,Clinical Staff Educator (Acute Care Nurses)
15-2041.00,Statisticians,Clinical Statistics Manager,Clinical Statistics Manager (Statisticians)
29-2099.05,Ophthalmic Medical Technologists,Clinical Supervisor,Clinical Supervisor (Ophthalmic Medical Technologists)
29-2099.01,Neurodiagnostic Technologists,"Clinical Supervisor, Epilepsy Monitoring Unit","Clinical Supervisor, Epilepsy Monitoring Unit (Neurodiagnostic Technologists)"
19-3031.02,Clinical Psychologists,Clinical Therapist,Clinical Therapist (Clinical Psychologists)
21-1013.00,Marriage and Family Therapists,Clinical Therapist,Clinical Therapist (Marriage and Family Therapists)
21-1023.00,Mental Health and Substance Abuse Social Workers,Clinical Therapist,Clinical Therapist (Mental Health and Substance Abuse Social Workers)
11-9121.01,Clinical Research Coordinators,Clinical Trial Coordinator,Clinical Trial Coordinator (Clinical Research Coordinators)
11-9121.01,Clinical Research Coordinators,Clinical Trial Manager,Clinical Trial Manager (Clinical Research Coordinators)
11-9199.01,Regulatory Affairs Managers,Clinical Trials Systems Administrator,Clinical Trials Systems Administrator (Regulatory Affairs Managers)
21-1013.00,Marriage and Family Therapists,Clinician,Clinician (Marriage and Family Therapists)
21-1023.00,Mental Health and Substance Abuse Social Workers,Clinician,Clinician (Mental Health and Substance Abuse Social Workers)
21-1014.00,Mental Health Counselors,Clinician,Clinician (Mental Health Counselors)
29-1125.02,Music Therapists,Clinician,Clinician (Music Therapists)
49-9064.00,Watch Repairers,Clock Repair Technician,Clock Repair Technician (Watch Repairers)
49-9064.00,Watch Repairers,Clock Repairer,Clock Repairer (Watch Repairers)
49-9064.00,Watch Repairers,Clock Smith,Clock Smith (Watch Repairers)
51-2093.00,Timing Device Assemblers and Adjusters,Clockmaker,Clockmaker (Timing Device Assemblers and Adjusters)
43-4131.00,Loan Interviewers and Clerks,Closer,Closer (Loan Interviewers and Clerks)
51-9111.00,Packaging and Filling Machine Operators and Tenders,Closing Machine Operator,Closing Machine Operator (Packaging and Filling Machine Operators and Tenders)
51-9031.00,"Cutters and Trimmers, Hand",Cloth Cutter,"Cloth Cutter (Cutters and Trimmers, Hand)"
27-1022.00,Fashion Designers,Clothing Designer,Clothing Designer (Fashion Designers)
39-6012.00,Concierges,Club Concierge,Club Concierge (Concierges)
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",CNC Cutting Operator (Computer Numerical Control Cutting Operator),"CNC Cutting Operator (Computer Numerical Control Cutting Operator) (Textile Cutting Machine Setters, Operators, and Tenders)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Inspector (Computer Numerical Control Inspector),"CNC Inspector (Computer Numerical Control Inspector) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Lathe Operator (Computer Numerical Control Lathe Operator),"CNC Lathe Operator (Computer Numerical Control Lathe Operator) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Machine Operator (Computerized Numerical Control Machine Operator),"CNC Machine Operator (Computerized Numerical Control Machine Operator) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",CNC Machine Setter (Computer Numerically Controlled Machine Setter),"CNC Machine Setter (Computer Numerically Controlled Machine Setter) (Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic)"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",CNC Machinist (Computer Numerically Controlled Machinist),"CNC Machinist (Computer Numerically Controlled Machinist) (Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Machinist (Computerized Numerical Control Machinist),"CNC Machinist (Computerized Numerical Control Machinist) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Mill Operator (Computerized Numerical Control Mill Operator),"CNC Mill Operator (Computerized Numerical Control Mill Operator) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Mill Set Up Operator (Computerized Numerical Control Mill Set Up Operator),"CNC Mill Set Up Operator (Computerized Numerical Control Mill Set Up Operator) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",CNC Operator (Computer Numerically Controlled Operator),"CNC Operator (Computer Numerically Controlled Operator) (Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic)"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",CNC Operator (Computer Numerically Controlled Operator),"CNC Operator (Computer Numerically Controlled Operator) (Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic)"
51-4194.00,"Tool Grinders, Filers, and Sharpeners",CNC Operator (Computer Numerically Controlled Operator),"CNC Operator (Computer Numerically Controlled Operator) (Tool Grinders, Filers, and Sharpeners)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Operator (Computerized Numerical Control Operator),"CNC Operator (Computerized Numerical Control Operator) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",CNC Programmer (Computerized Numerical Control Programmer),"CNC Programmer (Computerized Numerical Control Programmer) (Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic)"
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Co-Pilot,"Co-Pilot (Airline Pilots, Copilots, and Flight Engineers)"
27-2022.00,Coaches and Scouts,Coach,Coach (Coaches and Scouts)
